#OTU_ID	15M	15T	1M	1T	4M	4T	52M	52T	56M	56T	58M	58T	Blank	JP-CFB-09M	JP-CFB-09T	JP-CFB-11M	JP-CFB-11T	JP-CFB-17M	JP-CFB-17T	JP-CFB-23M	JP-CFB-23T	JP-CFB-30M	JP-CFB-30T	JP-CFB-53M	JP-CFB-53T	JP-CFB-Blank1
ddd79507bcb4f61445afa3cfe037e31b	0.0	132.0	0.0	125.0	0.0	0.0	0.0	41.0	234.0	225.0	85.0	215.0	0.0	0.0	59.0	0.0	20.0	0.0	0.0	0.0	0.0	0.0	51.0	0.0	0.0	24.0
6a396692ade39c20dd734180eee8a157	0.0	98.0	170.0	0.0	0.0	201.0	0.0	0.0	210.0	214.0	148.0	104.0	0.0	0.0	64.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2259c214b201167acf8006b811c233bb	85.0	45.0	114.0	155.0	186.0	84.0	273.0	103.0	64.0	28.0	48.0	21.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3ce7d799a5a15884e34e149ad2008ec7	81.0	87.0	131.0	92.0	73.0	120.0	407.0	116.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	70.0	0.0	0.0	0.0	29.0	0.0	0.0	0.0	0.0	0.0	0.0
f6b5cd7d0716d40950c2d887c932f6c4	0.0	181.0	221.0	188.0	308.0	194.0	0.0	0.0	114.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1f016dacc068663d7142badf0dfee602	0.0	0.0	0.0	45.0	125.0	153.0	284.0	526.0	0.0	0.0	48.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ace4a833bebd524a6368319b34506280	0.0	153.0	0.0	54.0	0.0	59.0	71.0	168.0	113.0	121.0	146.0	129.0	0.0	0.0	49.0	18.0	0.0	45.0	0.0	0.0	0.0	0.0	50.0	0.0	0.0	0.0
2d43f1706d682657b8728c28c563341f	47.0	39.0	245.0	0.0	154.0	0.0	228.0	27.0	75.0	39.0	180.0	0.0	0.0	0.0	0.0	0.0	0.0	41.0	0.0	0.0	90.0	0.0	0.0	0.0	0.0	0.0
f65b7cd53345f6ad69ef54b81b682af2	0.0	0.0	0.0	952.0	0.0	0.0	0.0	0.0	55.0	0.0	0.0	0.0	0.0	0.0	45.0	0.0	58.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	22.0	0.0
c78bf5bbea0d774a445fb3b90aa60904	81.0	0.0	559.0	0.0	75.0	0.0	72.0	0.0	90.0	0.0	172.0	0.0	0.0	0.0	0.0	91.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
cfe17d5a26ab6561b4c2550dcccc90ad	134.0	159.0	67.0	151.0	98.0	179.0	0.0	0.0	55.0	61.0	76.0	61.0	0.0	0.0	0.0	0.0	30.0	63.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
b89bc195bd41c6b38c4d2afab37b5750	0.0	127.0	38.0	448.0	11.0	44.0	35.0	67.0	97.0	62.0	82.0	40.0	0.0	0.0	28.0	0.0	0.0	16.0	14.0	2.0	0.0	0.0	20.0	0.0	0.0	0.0
